title|doi
Relative sparing of dopaminergic terminals in the caudate nucleus is a feature of rest tremor in Parkinson’s disease|10.1038/s41531-024-00818-8
Peripheral immune cell abundance differences link blood mitochondrial DNA copy number and Parkinson’s disease|10.1038/s41531-024-00831-x
The effects of chemogenetic targeting of serotonin-projecting pathways on L-DOPA-induced dyskinesia and psychosis in a bilateral rat model of Parkinson’s disease|10.3389/fncir.2024.1463941
PathogenicLRRK2mutations cause loss of primary cilia and Neurturin in striatal parvalbumin interneurons|10.26508/lsa.202402922
Gut Microbial Metabolites and Future Risk of Parkinson's Disease: A Metabolome‐Wide Association Study|10.1002/mds.30054
Genetic architecture of cerebrospinal fluid and brain metabolite levels and the genetic colocalization of metabolites with human traits|10.1038/s41588-024-01973-7
Identification and In Vitro and In Vivo Characterization of KAC-50.1 as a Potential α-Synuclein PET Radioligand|10.1021/acschemneuro.4c00493
Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer’s disease|10.1038/s41588-024-01972-8
A framework for translational therapy development in deep brain stimulation|10.1038/s41531-024-00829-5
Novel tools to quantify total, phospho-Ser129 and aggregated alpha-synuclein in the mouse brain|10.1038/s41531-024-00830-y
The p.Gly2019Ser is a common LRRK2 pathogenic variant among Egyptians with familial and sporadic Parkinson’s disease|10.1038/s41531-024-00826-8
Systemic inflammation accelerates neurodegeneration in a rat model of Parkinson’s disease overexpressing human alpha synuclein|10.1038/s41531-024-00824-w
Dopaminergic Axon Tracts Within a Hyaluronic Acid Hydrogel Encasement to Restore the Nigrostriatal Pathway|10.1002/adhm.202402997
Comparing machine learning and deep learning models to predict cognition progression in Parkinson's disease|10.1111/cts.70066
Exploring the layers of fatigue in Parkinson’s Disease: A comprehensive analysis of its prevalence and contributing factors|10.1016/j.prdoa.2024.100288
α-synuclein overexpression and the microbiome shape the gut and brain metabolome in mice|10.1038/s41531-024-00816-w
Brain-derived and in vitro-seeded alpha-synuclein fibrils exhibit distinct biophysical profiles|10.7554/elife.92775.3
Structural basis of epitope recognition by anti-alpha-synuclein antibodies MJFR14-6-4-2|10.1038/s41531-024-00822-y
Randomized crossover trial on motor and non-motor outcome of directional deep brain stimulation in Parkinson’s disease|10.1038/s41531-024-00812-0
Are rare heterozygous SYNJ1 variants associated with Parkinson’s disease?|10.1038/s41531-024-00809-9
Autosomal recessive VWA1-related disorder: comprehensive analysis of phenotypic variability and genetic mutations|10.1093/braincomms/fcae377
Biomarker Assessment in Parkinson’s Disease Dementia and Dementia with Lewy Bodies by the Immunomagnetic Reduction Assay and Clinical Measures|10.3233/adr-240110
Participant-reported personal utility of genetic testing for Parkinson’s disease and interest in clinical trial participation|10.1038/s41531-024-00805-z
Delineating three distinct spatiotemporal patterns of brain atrophy in Parkinson’s disease|10.1093/brain/awae303
Medication recommendation for Parkinson’s disease based on dynamics of symptom progression|10.1038/s41598-024-76941-6
Oral and gut microbiome profiles in people with early idiopathic Parkinson’s disease|10.1038/s43856-024-00630-8
Direct and indirect regulation of β-glucocerebrosidase by the transcription factors USF2 and ONECUT2|10.1038/s41531-024-00819-7
The Black and African American Connections to Parkinson’s Disease (BLAAC PD) study protocol|10.1186/s12883-024-03914-7
Multiple sclerosis subgroups: Data-driven clusters based on patient-reported outcomes and a large clinical sample|10.1177/13524585241282763
PAK6 rescues pathogenic LRRK2-mediated ciliogenesis and centrosomal cohesion defects in a mutation-specific manner|10.1038/s41419-024-07124-4
Parkinson’s families project: a UK-wide study of early onset and familial Parkinson’s disease|10.1038/s41531-024-00778-z
Integrating brainstem and cortical functional architectures|10.1038/s41593-024-01787-0
Modelling human neuronal catecholaminergic pigmentation in rodents recapitulates age-related neurodegenerative deficits|10.1038/s41467-024-53168-7
Neuronal BAG3 attenuates tau hyperphosphorylation, synaptic dysfunction, and cognitive deficits induced by traumatic brain injury via the regulation of autophagy-lysosome pathway|10.1007/s00401-024-02810-1
High-throughput screening for small-molecule stabilizers of misfolded glucocerebrosidase in Gaucher disease and Parkinson’s disease|10.1073/pnas.2406009121
Single-cell somatic copy number variants in brain using different amplification methods and reference genomes|10.1038/s42003-024-06940-w
α-Synuclein pathology disrupts mitochondrial function in dopaminergic and cholinergic neurons at-risk in Parkinson’s disease|10.1186/s13024-024-00756-2
POLCAM: instant molecular orientation microscopy for the life sciences|10.1038/s41592-024-02382-8
Brain-first forms of Parkinson's disease are over-represented in patients with non-responsive resting tremor|10.1016/j.nbd.2024.106691
ScRNAbox: empowering single-cell RNA sequencing on high performance computing systems|10.1186/s12859-024-05935-y
SNPs in cytochromes P450 catalyzing cholesterol degradation in brain are associated with Parkinson’s disease|10.3389/fphar.2024.1477009
Surface‐Based Morphometry Analysis of the Cerebral Cortex in Patients With Probable Idiopathic Rapid Eye Movement Sleep Behavior Disorder|10.1002/brb3.70057
RAB12-LRRK2 complex suppresses primary ciliogenesis and regulates centrosome homeostasis in astrocytes|10.1038/s41467-024-52723-6
Graphene Microelectrode Arrays, 4D Structured Illumination Microscopy, and a Machine Learning Spike Sorting Algorithm Permit the Analysis of Ultrastructural Neuronal Changes During Neuronal Signaling in a Model of Niemann–Pick Disease Type C|10.1002/advs.202402967
APOE contributes to longitudinal impulse control disorders progression in Parkinson’s disease|10.1186/s12888-024-06084-5
Modulation of cannabinoid receptor 2 alters neuroinflammation and reduces formation of alpha-synuclein aggregates in a rat model of nigral synucleinopathy|10.1186/s12974-024-03221-5
Neuronal alpha-Synuclein Disease integrated staging system performance in PPMI, PASADENA, and SPARK baseline cohorts|10.1038/s41531-024-00789-w
VPS13B is localized at the interface between Golgi cisternae and is a functional partner of FAM177A1|10.1083/jcb.202311189
Topography of Cholinergic Nerve Terminal Vulnerability and Balance Self-Efficacy in Parkinson's Disease|10.31083/j.jin2309178
CYP1B1-RMDN2 Alzheimer’s disease endophenotype locus identified for cerebral tau PET|10.1038/s41467-024-52298-2
Activation of parkin by a molecular glue|10.1038/s41467-024-51889-3
Advancing Parkinson’s Disease Research in Canada: The Canadian Open Parkinson Network (C-OPN) Cohort|10.3233/jpd-240213
An interpretable deep learning framework identifies proteomic drivers of Alzheimer’s disease|10.3389/fcell.2024.1379984
Head-up Tilt Sleeping to Treat Orthostatic Intolerance in a Patient with Advanced Parkinson’s Disease: A Case Report|10.1159/000541424
How storage post sampling influences the stability of sebum when used for mass spectrometry metabolomics analysis?|10.1038/s41598-024-71598-7
NeuroBooster Array: A Genome‐Wide Genotyping Platform to Study Neurological Disorders Across Diverse Populations|10.1002/mds.29902
A Novel MAG Variant Causes Hereditary Spastic Paraplegia in a Consanguineous Pakistani Family|10.3390/genes15091203
Structural and Functional Characterization of the Most Frequent Pathogenic PRKN Substitution p.R275W|10.3390/cells13181540
RTP801 interacts with the tRNA ligase complex and dysregulates its RNA ligase activity in Alzheimer’s disease|10.1093/nar/gkae776
Understanding what aspects of Parkinson’s disease matter most to patients and families|10.1038/s41598-024-71555-4
Spatial single-cell isotope tracing reveals heterogeneity of de novo fatty acid synthesis in cancer|10.1038/s42255-024-01118-4
SVA Regulation of Transposable Element Clustered Transcription within the Major Histocompatibility Complex Genomic Class II Region of the Parkinson’s Progression Markers Initiative|10.3390/genes15091185
A novel super-resolution microscopy platform for cutaneous alpha-synuclein detection in Parkinson’s disease|10.3389/fnmol.2024.1431549
Relationships of B12 and Homocysteine with Outcomes in the SURE-PD, SURE-PD3, and STEADY-PDIII Trials|10.3233/jpd-240035
Cohort-specific Boolean models highlight different regulatory modules during Parkinson’s disease progression|10.1016/j.isci.2024.110956
Selection of DNA aptamers that prevent the fibrillization of α-synuclein protein in cellular and mouse models|10.1016/j.omtn.2024.102251
SynBot is an open-source image analysis software for automated quantification of synapses|10.1016/j.crmeth.2024.100861
Validating New Symptom Emergence as a Patient-Centric Outcome Measure for PD Clinical Trials|10.1016/j.parkreldis.2024.107118
An Inducible Luminescent System to Explore Parkinson’s Disease-Associated Genes|10.3390/ijms25179493
Bridging the gap: Multi‐omics profiling of brain tissue in Alzheimer's disease and older controls in multi‐ethnic populations|10.1002/alz.14208
Inflammation and heterogeneity in synucleinopathies|10.3389/fimmu.2024.1432342
Shared and distinct cortical morphometric alterations in five neuropsychiatric symptoms of Parkinson’s disease|10.1038/s41398-024-03070-z
Medication improves velocity, reaction time, and movement time but not amplitude or error during memory‐guided reaching in Parkinson's disease|10.14814/phy2.16150
Sensorimotor functioning changes in response to global exercise versus handwriting upper limb exercise training in Parkinson’s disease, results from a phase II randomised controlled trial|10.1371/journal.pone.0309217
Single-Molecule Fingerprinting Reveals Different Growth Mechanisms in Seed Amplification Assays for Different Polymorphs of α-Synuclein Fibrils|10.1021/acschemneuro.4c00185
Synthesis at the Interface of Chemistry and Biology|10.1021/acs.accounts.4c00320
Diffusion tensor metrics, motor and non-motor symptoms in de novo Parkinson’s disease|10.1007/s00234-024-03452-6
Acceptability of digital health technologies in early Parkinson's disease: lessons from WATCH-PD|10.3389/fdgth.2024.1435693
Dynamic balance and gait impairments in Parkinson’s disease: novel cholinergic patterns|10.1093/braincomms/fcae286
Cell-specific expression of key mitochondrial enzymes limits OXPHOS in astrocytes of the adult human neocortex and hippocampal formation|10.1038/s42003-024-06751-z
Phosphoglycerate kinase is a central leverage point in Parkinson’s disease–driven neuronal metabolic deficits|10.1126/sciadv.adn6016
Restoring hippocampal glucose metabolism rescues cognition across Alzheimer’s disease pathologies|10.1126/science.abm6131
Exploring Analysis Approaches for Using the Dopamine Transporter Striatal Binding Ratio in Early‐ to Mid‐Stage Parkinson's Disease Modification Trials|10.1002/mdc3.14191
IAPP - oligomerisation levels in plasma of people with type 2 diabetes|10.1038/s41598-024-70255-3
Neuroprotection of low dose carbon monoxide in Parkinson’s disease models commensurate with the reduced risk of Parkinson’s among smokers|10.1038/s41531-024-00763-6
MRI subtypes in Parkinson’s disease across diverse populations and clustering approaches|10.1038/s41531-024-00759-2
Sleep duration in middle-aged years of life predicts the age of diagnosis of Parkinson’s disease|10.1016/j.sleepx.2024.100123
Whole-genome sequencing analysis reveals new susceptibility loci and structural variants associated with progressive supranuclear palsy|10.1186/s13024-024-00747-3
Loss-of-function variants in ITSN1 confer high risk of Parkinson’s disease|10.1038/s41531-024-00752-9
Exposure to household pesticides and Parkinson's disease in the Parkinson's Progression Markers Initiative cohort|10.3389/fneur.2024.1411468
A worldwide study of white matter microstructural alterations in people living with Parkinson’s disease|10.1038/s41531-024-00758-3
Acoustically targeted measurement of transgene expression in the brain|10.1126/sciadv.adj7686
LRRK2 kinase activity is necessary for development and regeneration in Nematostella vectensis|10.1186/s13064-024-00193-3
Multiple sclerosis in LRRK2 G2019S Parkinson’s disease and isolated nigral degeneration in a homozygous variant carrier|10.3389/fneur.2024.1450654
Naturally occurring hyperactive variants of human parkin|10.1038/s42003-024-06656-x
Contrastive machine learning reveals Parkinson’s disease specific features associated with disease severity and progression|10.1038/s42003-024-06648-x
Long-Term Dementia Risk in Parkinson Disease|10.1212/wnl.0000000000209699
Real‐world smartphone data can trace the behavioural impact of epilepsy: A case study|10.1111/ene.16433
The digital signature of emergent tremor in Parkinson’s disease|10.1038/s41531-024-00754-7
A Coalition to Advance Treatments for Parkinson’s Disease, Dementia with Lewy Bodies, and Related Disorders|10.3233/jpd-230257
Contributions of network structure, chemoarchitecture and diagnostic categories to transitions between cognitive topographies|10.1038/s41551-024-01242-2
Lack of genetic evidence for NLRP3 inflammasome involvement in Parkinson’s disease pathogenesis|10.1038/s41531-024-00744-9
Lysosomal TBK1 responds to amino acid availability to relieve Rab7-dependent mTORC1 inhibition|10.1038/s44318-024-00180-8
Transcriptomics and weighted protein network analyses of the LRRK2 protein interactome reveal distinct molecular signatures for sporadic and LRRK2 Parkinson’s Disease|10.1038/s41531-024-00761-8
ABCA7-dependent induction of neuropeptide Y is required for synaptic resilience in Alzheimer’s disease through BDNF/NGFR signaling|10.1016/j.xgen.2024.100642
Clinical genetic testing in Parkinson’s disease should become part of routine patient care|10.1093/brain/awae181
Dual-task gait has prognostic value for cognitive decline in Parkinson’s disease|10.1016/j.jocn.2024.06.006
Loss of primary cilia and dopaminergic neuroprotection in pathogenic LRRK2-driven and idiopathic Parkinson’s disease|10.1073/pnas.2402206121
A genetic and proteomic comparison of key AD biomarkers across tissues|10.1002/alz.14139
Parkinson’s disease variant detection and disclosure: PD GENEration, a North American study|10.1093/brain/awae142
Team Science Approaches to Unravel Monogenic Parkinson's Disease on a Global Scale|10.1002/mds.29925
Helical superstructures between amyloid and collagen in cardiac fibrils from a patient with AL amyloidosis|10.1038/s41467-024-50686-2
Comprehensive real time remote monitoring for Parkinson’s disease using Quantitative DigitoGraphy|10.1038/s41531-024-00751-w
Characterizing a complex CT-rich haplotype in intron 4 of SNCA using large-scale targeted amplicon long-read sequencing|10.1038/s41531-024-00749-4
Parkinson's Disease Gene Screening in Familial Cases from Central and South America|10.1002/mds.29931
Modeling of Parkinson’s Disease Progression and Implications for Detection of Disease Modification in Treatment Trials|10.3233/jpd-230446
Cognitive dysfunction in animal models of human lewy-body dementia|10.3389/fnagi.2024.1369733
The activities of daily living partially mediate the relationship between rapid eye movement sleep behavior disorder and depressive symptoms in Parkinson's disease|10.3389/fneur.2024.1357721
Unfolded protein response markers Grp78 and eIF2alpha are upregulated with increasing alpha‐synuclein levels in Lewy body disease|10.1111/nan.12999
Adult-onset deletion of ATP13A2 in mice induces progressive nigrostriatal pathway dopaminergic degeneration and lysosomal abnormalities|10.1038/s41531-024-00748-5
Targeted co-expression networks for the study of traits|10.1038/s41598-024-67329-7
[18F]Flotaza for Aβ Plaque Diagnostic Imaging: Evaluation in Postmortem Human Alzheimer’s Disease Brain Hippocampus and PET/CT Imaging in 5xFAD Transgenic Mice|10.3390/ijms25147890
Parkinson’s Disease Drug Therapies in the Clinical Trial Pipeline: 2024 Update|10.3233/jpd-240272
Machine learning for predicting cognitive decline within five years in Parkinson’s disease: Comparing cognitive assessment scales with DAT SPECT and clinical biomarkers|10.1371/journal.pone.0304355
Unveiling a novel memory center in human brain: neurochemical identification of the nucleus incertus, a key pontine locus implicated in stress and neuropathology|10.1186/s40659-024-00523-z
Genetic and multi-omic resources for Alzheimer disease and related dementia from the Knight Alzheimer Disease Research Center|10.1038/s41597-024-03485-9
Digital biomarkers for non-motor symptoms in Parkinson’s disease: the state of the art|10.1038/s41746-024-01144-2
Detecting rhythmic spiking through the power spectra of point process model residuals|10.1088/1741-2552/ad6188
Immune responses to oligomeric α-synuclein in Parkinson’s disease peripheral blood mononuclear cells|10.1007/s00415-024-12554-3
Single cell transcriptomes and multiscale networks from persons with and without Alzheimer’s disease|10.1038/s41467-024-49790-0
Identification of Parkinson’s disease PACE subtypes and repurposing treatments through integrative analyses of multimodal data|10.1038/s41746-024-01175-9
Gba1 E326K renders motor and non-motor symptoms with pathologic α-syn, tau and glial activation|10.1093/brain/awae222
Fostering Inclusivity in Research Engagement for Underrepresented Populations in Parkinson's Disease: The FIRE-UP PD study|10.1016/j.cct.2024.107619
Sex differences in the association between Body Mass Index and cognitive function in Parkinson disease: a cross-sectional study|10.3389/fnut.2024.1420225
AI-based differential diagnosis of dementia etiologies on multimodal data|10.1038/s41591-024-03118-z
Florbetaben amyloid PET acquisition time: Influence on Centiloids and interpretation|10.1002/alz.13893
Regional Differences in Microbial Infiltration of Brain Tissue from Alzheimer’s Disease Patients and Control Individuals|10.3390/brainsci14070677
Cognitive Symptoms in Cross-Sectional Parkinson Disease Cohort Evaluated by Human-in-the-Loop Machine Learning and Natural Language Processing|10.1212/cpj.0000000000200334
A designed ankyrin-repeat protein that targets Parkinson’s disease-associated LRRK2|10.1016/j.jbc.2024.107469
Concerns with the new biological research criteria for synucleinopathy – Authors' reply|10.1016/s1474-4422(24)00233-3
Genome-wide analyses reveal a potential role for the MAPT, MOBP, and APOE loci in sporadic frontotemporal dementia|10.1016/j.ajhg.2024.05.017
Parkinson's disease: Still waiting for a cure|10.1111/cts.13898
Profiling people with Parkinson's disease at risk of cognitive decline: Insights from PPMI and ICICLE‐PD data|10.1002/dad2.12625
Rapid iPSC inclusionopathy models shed light on formation, consequence, and molecular subtype of α-synuclein inclusions|10.1016/j.neuron.2024.06.002
Selective dopaminergic neurotoxicity modulated by inherent cell-type specific neurobiology|10.1016/j.neuro.2024.06.016
TNF-NF-κB-p53 axis restricts in vivo survival of hPSC-derived dopamine neurons|10.1016/j.cell.2024.05.030
Associations of cholinergic system integrity with cognitive decline in GBA1 and LRRK2 mutation carriers|10.1038/s41531-024-00743-w
Increased mean diffusivity of the caudal motor SNc identifies patients with REM sleep behaviour disorder and Parkinson’s disease|10.1038/s41531-024-00731-0
Changes in expression of VGF, SPECC1L, HLA-DRA and RANBP3L act with APOE E4 to alter risk for late onset Alzheimer’s disease|10.1038/s41598-024-65010-7
Investigating the Protective Role of the Mitochondrial 2158 T > C Variant in Parkinson's Disease|10.1002/mds.29892
Revised criteria for the diagnosis and staging of Alzheimer’s disease|10.1038/s41591-024-02988-7
The annotation of GBA1 has been concealed by its protein-coding pseudogene GBAP1|10.1126/sciadv.adk1296
Revised criteria for diagnosis and staging of Alzheimer's disease: Alzheimer's Association Workgroup|10.1002/alz.13859
Selective Activation of the Spinal Cord with Epidural Electrical Stimulation|10.3390/brainsci14070650
Assessment tools for cognitive performance in Parkinson’s disease and its genetic contributors|10.3389/fneur.2024.1413187
Divergent landscapes of A-to-I editing in postmortem and living human brain|10.1038/s41467-024-49268-z
Control of mitophagy initiation and progression by the TBK1 adaptors NAP1 and SINTBAD|10.1038/s41594-024-01338-y
Prediction of motor and non-motor Parkinson’s disease symptoms using serum lipidomics and machine learning: a 2-year study|10.1038/s41531-024-00741-y
Synchronous Measurements of Extracellular Action Potentials and Neurochemical Activity with Carbon Fiber Electrodes in Nonhuman Primates|10.1523/eneuro.0001-24.2024
The combined effect of lifestyle factors and polygenic scores on age at onset in Parkinson’s disease|10.1038/s41598-024-65640-x
An interpretable machine learning‐based cerebrospinal fluid proteomics clock for predicting age reveals novel insights into brain aging|10.1111/acel.14230
Association of Baseline Depression and Anxiety with Longitudinal Health Outcomes in Parkinson's Disease|10.1002/mdc3.14145
Randomized controlled trial of intermittent hypoxia in Parkinson’s disease: study rationale and protocol|10.1186/s12883-024-03702-3
Open-source platform for kinematic analysis of mouse forelimb movement|10.1016/j.xpro.2024.103140
Target engagement and immunogenicity of an active immunotherapeutic targeting pathological α-synuclein: a phase 1 placebo-controlled trial|10.1038/s41591-024-03101-8
Very low levels of ABCA7 in the cerebrum and Alzheimer’s disease onset between the ages of 60 and 80 independently of APOE|10.1093/jnen/nlae060
The hexosamine biosynthetic pathway rescues lysosomal dysfunction in Parkinson’s disease patient iPSC derived midbrain neurons|10.1038/s41467-024-49256-3
Plasma proteomics identify biomarkers predicting Parkinson’s disease up to 7 years before symptom onset|10.1038/s41467-024-48961-3
Dissociable effects of dopaminergic medications on depression symptom dimensions in Parkinson disease|10.1038/s44220-024-00256-8
Neurovascular and immune factors of vulnerability of substantia nigra dopaminergic neurons in non-human primates|10.1038/s41531-024-00735-w
Disease progression modelling reveals heterogeneity in trajectories of Lewy-type α-synuclein pathology|10.1038/s41467-024-49402-x
Ligand-based design of [18F]OXD-2314 for PET imaging in non-Alzheimer’s disease tauopathies|10.1038/s41467-024-49258-1
Advancing surgical instrument safety: A screen of oxidative and alkaline prion decontaminants using real-time quaking-induced conversion with prion-coated steel beads as surgical instrument mimetic|10.1371/journal.pone.0304603
An Ethnographic Study of Patient Life Experience in Early-Stage Parkinson’s Disease in the United States and Germany|10.1007/s40120-024-00632-7
Fox Insight at 5 years - a cohort of 54,000 participants contributing longitudinal patient-reported outcome, genetic, and microbiome data relating to Parkinson’s disease|10.1038/s41597-024-03407-9
Using a smartwatch and smartphone to assess early Parkinson’s disease in the WATCH-PD study over 12 months|10.1038/s41531-024-00721-2
DOPA-decarboxylase is elevated in CSF, but not plasma, in prodromal and de novo Parkinson’s disease|10.1186/s40035-024-00421-0
Mitochondrial DNA Instability Supersedes Parkin Mutations in Driving Mitochondrial Proteomic Alterations and Functional Deficits in Polg Mutator Mice|10.3390/ijms25126441
Motor skill learning modulates striatal extracellular vesicles’ content in a mouse model of Huntington’s disease|10.1186/s12964-024-01693-9
Single molecule array measures of LRRK2 kinase activity in serum link Parkinson’s disease severity to peripheral inflammation|10.1186/s13024-024-00738-4
Systematic rare variant analyses identify RAB32 as a susceptibility gene for familial Parkinson’s disease|10.1038/s41588-024-01787-7
Genome-wide determinants of mortality and motor progression in Parkinson’s disease|10.1038/s41531-024-00729-8
Mechanism of human PINK1 activation at the TOM complex in a reconstituted system|10.1126/sciadv.adn7191
Relationship between sex biases in gene expression and sex biases in autism and Alzheimer’s disease|10.1186/s13293-024-00622-2
A machine learning contest enhances automated freezing of gait detection and reveals time-of-day effects|10.1038/s41467-024-49027-0
Causal Forest Machine Learning Analysis of Parkinson’s Disease in Resting-State Functional Magnetic Resonance Imaging|10.3390/tomography10060068
Building national patient registries in Mexico: insights from the MexOMICS Consortium|10.3389/fdgth.2024.1344103
Late‐onset Krabbe disease presenting as spastic paraplegia – implications of GCase and CTSB/D|10.1002/acn3.52078
The immune system in Parkinson’s disease: what we know so far|10.1093/brain/awae177
Twelve Years of Drug Prioritization to Help Accelerate Disease Modification Trials in Parkinson’s Disease: The International Linked Clinical Trials Initiative|10.3233/jpd-230363
Motor dysfunction in Parkinson’s patients: depression differences in a latent growth model|10.3389/fnagi.2024.1393887
Neurocognitive health in LGBTQIA+ older adults: current state of research and recommendations|10.3389/fnhum.2024.1394374
Outcome Selection for Research Studies in Movement Disorders|10.1002/mdc3.14087
An interpretable deep learning Bayesian optimized random forest framework for the diagnosis of Parkinson's disease in structural magnetic resonance images|10.1002/ima.23106
ePresentations|10.1111/ene.16338
Occupational Pesticide Exposure in Parkinson’s Disease Related to GBA and LRRK2 Variants|10.3233/jpd-240015
Plasma extracellular vesicle tau and TDP-43 as diagnostic biomarkers in FTD and ALS|10.1038/s41591-024-02937-4
Alpha-synuclein aggregates are phosphatase resistant|10.1186/s40478-024-01785-0
Aplp1 interacts with Lag3 to facilitate transmission of pathologic α-synuclein|10.1038/s41467-024-49016-3
Neuroprotective Strategies and Cell-Based Biomarkers for Manganese-Induced Toxicity in Human Neuroblastoma (SH-SY5Y) Cells|10.3390/biom14060647
Anticipating Tomorrow: Tailoring Parkinson's Symptomatic Therapy Using Predictors of Outcome|10.1002/mdc3.14089
High-Yield α-Synuclein Purification and Ionic Strength Modification Pivotal to Seed Amplification Assay Performance and Reproducibility|10.3390/ijms25115988
Digital outcome measures from smartwatch data relate to non-motor features of Parkinson’s disease|10.1038/s41531-024-00719-w
Dysregulated Wnt and NFAT signaling in a Parkinson’s disease LRRK2 G2019S knock-in model|10.1038/s41598-024-63130-8
Genetic analysis and natural history of Parkinson’s disease due to the LRRK2 G2019S variant|10.1093/brain/awae073
Development and characterization of phospho-ubiquitin antibodies to monitor PINK1-PRKN signaling in cells and tissue|10.1080/15548627.2024.2356490
Exploring the role of underrepresented populations in polygenic risk scores for neurodegenerative disease risk prediction|10.3389/fnins.2024.1380860
A data-driven single-cell and spatial transcriptomic map of the human prefrontal cortex|10.1126/science.adh1938
Epistatic Features and Machine Learning Improve Alzheimer’s Disease Risk Prediction Over Polygenic Risk Scores|10.3233/jad-230236
Profiling complex repeat expansions in RFC1 in Parkinson’s disease|10.1038/s41531-024-00723-0
Association of body mass index with rapid eye movement sleep behavior disorder in Parkinson’s disease|10.3389/fneur.2024.1388131
Impulse control disorders and use of dopamine agonists in early onset Parkinson’s disease|10.3389/fneur.2024.1404904
KAT8 compound inhibition inhibits the initial steps of PINK1-dependant mitophagy|10.1038/s41598-024-60602-9
A cross‐sectional study of α‐synuclein seed amplification assay in Alzheimer's disease neuroimaging initiative: Prevalence and associations with Alzheimer's disease biomarkers and cognitive function|10.1002/alz.13858
Neither alpha-synuclein fibril strain nor host murine genotype influences seeding efficacy|10.1038/s41531-024-00679-1
A person-centered approach to characterizing longitudinal ambulatory impairment in Parkinson's disease|10.1038/s41598-024-62179-9
Sleep disturbances, cognitive decline, and AD biomarkers alterations in early Parkinson's disease|10.1002/acn3.52089
Lysosomal and synaptic dysfunction markers in longitudinal cerebrospinal fluid of de novo Parkinson’s disease|10.1038/s41531-024-00714-1
A neurocomputational view of the effects of Parkinson’s disease on speech production|10.3389/fnhum.2024.1383714
Associations among plasma, MRI, and amyloid PET biomarkers of Alzheimer's disease and related dementias and the impact of health‐related comorbidities in a community‐dwelling cohort|10.1002/alz.13835
iATPSnFR2: A high-dynamic-range fluorescent sensor for monitoring intracellular ATP|10.1073/pnas.2314604121
Patient-centered development of clinical outcome assessments in early Parkinson disease: key priorities and advances|10.1038/s41531-024-00716-z
The landscape of rare genetic variation associated with inflammatory bowel disease and Parkinson’s disease comorbidity|10.1186/s13073-024-01335-2
Deciphering the role of a SINE-VNTR-Alu retrotransposon polymorphism as a biomarker of Parkinson’s disease progression|10.1038/s41598-024-61753-5
Characterizing molecular and synaptic signatures in mouse models of late‐onset Alzheimer's disease independent of amyloid and tau pathology|10.1002/alz.13828
Automatic geometry-based estimation of the locus coeruleus region on T1-weighted magnetic resonance images|10.3389/fnins.2024.1375530
Synapsin E-domain is essential for α-synuclein function|10.7554/elife.89687.3
Hippocampal aggregation signatures of pathogenic UBQLN2 in amyotrophic lateral sclerosis and frontotemporal dementia|10.1093/brain/awae140
Detecting the symptoms of Parkinson’s disease with non-standard video|10.1186/s12984-024-01362-5
Exploring the Interactions between two Ligands, UCB-J and UCB-F, and Synaptic Vesicle Glycoprotein 2 Isoforms|10.1021/acschemneuro.4c00029
Structural underpinnings and long-term effects of resilience in Parkinson’s disease|10.1038/s41531-024-00699-x
